model,params,cv_auprc_mean,cv_auprc_std,rank
dummy,{},0.050753972281217766,2.487346455254391e-05,1
logistic,"{""model__C"": 0.001}",0.07996310035604641,0.005797228794702992,1
logistic,"{""model__C"": 0.01}",0.07989309354235552,0.005641045609286159,2
logistic,"{""model__C"": 0.1}",0.07945897796721317,0.005362950768746576,3
logistic,"{""model__C"": 1.0}",0.07932522648253026,0.0053776616703487415,4
logistic,"{""model__C"": 10.0}",0.07932508584785158,0.00543057541317971,5
random_forest,"{""model__max_depth"": 8, ""model__n_estimators"": 200}",0.08082353595452875,0.005229940292704518,2
random_forest,"{""model__max_depth"": 8, ""model__n_estimators"": 500}",0.08125162434709778,0.005648500360379291,1
random_forest,"{""model__max_depth"": 16, ""model__n_estimators"": 200}",0.07024931270322674,0.003102200723678883,4
random_forest,"{""model__max_depth"": 16, ""model__n_estimators"": 500}",0.0712542676369466,0.0037391074008155467,3
random_forest,"{""model__max_depth"": null, ""model__n_estimators"": 200}",0.06699125471342092,0.0018045654564427189,6
random_forest,"{""model__max_depth"": null, ""model__n_estimators"": 500}",0.06787055169364267,0.0016634539962691506,5
hist_gradient_boosting,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3}",0.08376788112297913,0.004305732462881526,2
hist_gradient_boosting,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6}",0.08262487050303945,0.004812819713218267,4
hist_gradient_boosting,"{""model__learning_rate"": 0.05, ""model__max_depth"": null}",0.08265555182356367,0.004867115715390415,3
hist_gradient_boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3}",0.08379420380174538,0.003973981063756943,1
hist_gradient_boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6}",0.08097414658864661,0.004915566123668173,6
hist_gradient_boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": null}",0.0819514127550888,0.004710807146766884,5
hist_gradient_boosting_with_census,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3}",0.0824214552510899,0.0038997827193779163,1
